specificity,grower_id,season,activity,attribute,value,season_order
by grower,18,n/a,n/a,year_of_birth,1990,
by grower,19,n/a,n/a,year_of_birth,1966,
by grower,20,n/a,n/a,year_of_birth,1992,
by grower,21,n/a,n/a,year_of_birth,1956,
by grower,22,n/a,n/a,year_of_birth,1978,
by grower,23,n/a,n/a,year_of_birth,1980,
by grower,24,n/a,n/a,year_of_birth,1988,
by grower,25,n/a,n/a,year_of_birth,1994,
by grower,26,n/a,n/a,year_of_birth,1966,
by grower,27,n/a,n/a,year_of_birth,1983,
by grower,28,n/a,n/a,year_of_birth,1983,
by grower,29,n/a,n/a,year_of_birth,1953,
by grower,30,n/a,n/a,year_of_birth,1964,
by grower,31,n/a,n/a,year_of_birth,1960,
by grower,32,n/a,n/a,year_of_birth,1967,
by grower,33,n/a,n/a,year_of_birth,1977,
by grower,34,n/a,n/a,year_of_birth,1960,
by grower,35,n/a,n/a,year_of_birth,1976,
by grower,36,n/a,n/a,year_of_birth,1987,
by grower,37,n/a,n/a,year_of_birth,1983,
by grower,38,n/a,n/a,year_of_birth,1987,
by grower,1,n/a,n/a,farm_size_mean_ha,32.37488,
by grower,2,n/a,n/a,farm_size_mean_ha,3.5410025,
by grower,3,n/a,n/a,farm_size_mean_ha,1.037007875,
by grower,4,n/a,n/a,farm_size_mean_ha,13.759324,
by grower,5,n/a,n/a,farm_size_mean_ha,0.404686,
by grower,6,n/a,n/a,farm_size_mean_ha,0.13452433407045,
by grower,7,n/a,n/a,farm_size_mean_ha,1.3152295,
by grower,8,n/a,n/a,farm_size_mean_ha,4.7550605,
by grower,9,n/a,n/a,farm_size_mean_ha,24.28116,
by grower,10,n/a,n/a,farm_size_mean_ha,0.04451546,
by grower,11,n/a,n/a,farm_size_mean_ha,0.202343,
by grower,12,n/a,n/a,farm_size_mean_ha,10.2183215,
by grower,13,n/a,n/a,farm_size_mean_ha,0.126464375,
by grower,14,n/a,n/a,farm_size_mean_ha,1.821087,
by grower,15,n/a,n/a,farm_size_mean_ha,166.932975,
by grower,16,n/a,n/a,farm_size_mean_ha,0.25292875,
by grower,17,n/a,n/a,farm_size_mean_ha,0.202343,
by grower,18,n/a,n/a,farm_size_mean_ha,1.011715,
by grower,19,n/a,n/a,farm_size_mean_ha,0.134153409,
by grower,20,n/a,n/a,farm_size_mean_ha,58.40967933333334,
by grower,21,n/a,n/a,farm_size_mean_ha,3.035145,
by grower,22,n/a,n/a,farm_size_mean_ha,5.260918,
by grower,23,n/a,n/a,farm_size_mean_ha,7.43610525,
by grower,24,n/a,n/a,farm_size_mean_ha,0.607029,
by grower,25,n/a,n/a,farm_size_mean_ha,14.973381999999999,
by grower,26,n/a,n/a,farm_size_mean_ha,4.451546,
by grower,27,n/a,n/a,farm_size_mean_ha,6.879662,
by grower,28,n/a,n/a,farm_size_mean_ha,9.712464,
by grower,29,n/a,n/a,farm_size_mean_ha,7.6890339999999995,
by grower,30,n/a,n/a,farm_size_mean_ha,7.284348,
by grower,31,n/a,n/a,farm_size_mean_ha,19.155137333333332,
by grower,32,n/a,n/a,farm_size_mean_ha,1.011715,
by grower,33,n/a,n/a,farm_size_mean_ha,101.1715,
by grower,34,n/a,n/a,farm_size_mean_ha,40.4686,
by grower,35,n/a,n/a,farm_size_mean_ha,1.9559823333333333,
by grower,36,n/a,n/a,farm_size_mean_ha,835.271904,
by grower,37,n/a,n/a,farm_size_mean_ha,3.237488,
by grower,38,n/a,n/a,farm_size_mean_ha,1.214058,
by grower,1,n/a,n/a,age,65,
by grower,2,n/a,n/a,age,58,
by grower,3,n/a,n/a,age,32,
by grower,4,n/a,n/a,age,40,
by grower,5,n/a,n/a,age,62,
by grower,6,n/a,n/a,age,28,
by grower,7,n/a,n/a,age,50,
by grower,8,n/a,n/a,age,33,
by grower,9,n/a,n/a,age,31,
by grower,10,n/a,n/a,age,66,
by grower,11,n/a,n/a,age,37,
by grower,12,n/a,n/a,age,33,
by grower,13,n/a,n/a,age,35,
by grower,14,n/a,n/a,age,51,
by grower,15,n/a,n/a,age,69,
by grower,16,n/a,n/a,age,32,
by grower,17,n/a,n/a,age,29,
by grower,18,n/a,n/a,age,30,
by grower,19,n/a,n/a,age,54,
by grower,20,n/a,n/a,age,28,
by grower,21,n/a,n/a,age,64,
by grower,22,n/a,n/a,age,42,
by grower,23,n/a,n/a,age,40,
by grower,24,n/a,n/a,age,32,
by grower,25,n/a,n/a,age,26,
by grower,26,n/a,n/a,age,54,
by grower,27,n/a,n/a,age,37,
by grower,28,n/a,n/a,age,37,
by grower,29,n/a,n/a,age,67,
by grower,30,n/a,n/a,age,56,
by grower,31,n/a,n/a,age,60,
by grower,32,n/a,n/a,age,53,
by grower,33,n/a,n/a,age,43,
by grower,34,n/a,n/a,age,60,
by grower,35,n/a,n/a,age,44,
by grower,36,n/a,n/a,age,33,
by grower,37,n/a,n/a,age,37,
by grower,38,n/a,n/a,age,33,
by grower,1,n/a,n/a,age_lower_bracket,60,
by grower,2,n/a,n/a,age_lower_bracket,50,
by grower,3,n/a,n/a,age_lower_bracket,30,
by grower,4,n/a,n/a,age_lower_bracket,40,
by grower,5,n/a,n/a,age_lower_bracket,60,
by grower,6,n/a,n/a,age_lower_bracket,21,
by grower,7,n/a,n/a,age_lower_bracket,50,
by grower,8,n/a,n/a,age_lower_bracket,30,
by grower,9,n/a,n/a,age_lower_bracket,30,
by grower,10,n/a,n/a,age_lower_bracket,60,
by grower,11,n/a,n/a,age_lower_bracket,30,
by grower,12,n/a,n/a,age_lower_bracket,30,
by grower,13,n/a,n/a,age_lower_bracket,30,
by grower,14,n/a,n/a,age_lower_bracket,50,
by grower,15,n/a,n/a,age_lower_bracket,60,
by grower,16,n/a,n/a,age_lower_bracket,30,
by grower,17,n/a,n/a,age_lower_bracket,21,
by grower,18,n/a,n/a,age_lower_bracket,30,
by grower,19,n/a,n/a,age_lower_bracket,50,
by grower,20,n/a,n/a,age_lower_bracket,21,
by grower,21,n/a,n/a,age_lower_bracket,60,
by grower,22,n/a,n/a,age_lower_bracket,40,
by grower,23,n/a,n/a,age_lower_bracket,40,
by grower,24,n/a,n/a,age_lower_bracket,30,
by grower,25,n/a,n/a,age_lower_bracket,21,
by grower,26,n/a,n/a,age_lower_bracket,50,
by grower,27,n/a,n/a,age_lower_bracket,30,
by grower,28,n/a,n/a,age_lower_bracket,30,
by grower,29,n/a,n/a,age_lower_bracket,60,
by grower,30,n/a,n/a,age_lower_bracket,50,
by grower,31,n/a,n/a,age_lower_bracket,60,
by grower,32,n/a,n/a,age_lower_bracket,50,
by grower,33,n/a,n/a,age_lower_bracket,40,
by grower,34,n/a,n/a,age_lower_bracket,60,
by grower,35,n/a,n/a,age_lower_bracket,40,
by grower,36,n/a,n/a,age_lower_bracket,30,
by grower,37,n/a,n/a,age_lower_bracket,30,
by grower,38,n/a,n/a,age_lower_bracket,30,
by grower,1,n/a,n/a,body_weight_kg,86.9,
by grower,2,n/a,n/a,body_weight_kg,73.6,
by grower,3,n/a,n/a,body_weight_kg,84.0,
by grower,4,n/a,n/a,body_weight_kg,87.4,
by grower,5,n/a,n/a,body_weight_kg,73.9,
by grower,6,n/a,n/a,body_weight_kg,67.9,
by grower,7,n/a,n/a,body_weight_kg,87.8,
by grower,8,n/a,n/a,body_weight_kg,70.2,
by grower,9,n/a,n/a,body_weight_kg,84.0,
by grower,10,n/a,n/a,body_weight_kg,73.9,
by grower,11,n/a,n/a,body_weight_kg,70.2,
by grower,12,n/a,n/a,body_weight_kg,84.0,
by grower,13,n/a,n/a,body_weight_kg,84.0,
by grower,14,n/a,n/a,body_weight_kg,73.6,
by grower,15,n/a,n/a,body_weight_kg,86.9,
by grower,16,n/a,n/a,body_weight_kg,70.2,
by grower,17,n/a,n/a,body_weight_kg,67.9,
by grower,18,n/a,n/a,body_weight_kg,70.2,
by grower,19,n/a,n/a,body_weight_kg,87.8,
by grower,20,n/a,n/a,body_weight_kg,81.2,
by grower,21,n/a,n/a,body_weight_kg,86.9,
by grower,22,n/a,n/a,body_weight_kg,87.4,
by grower,23,n/a,n/a,body_weight_kg,72.7,
by grower,24,n/a,n/a,body_weight_kg,84.0,
by grower,25,n/a,n/a,body_weight_kg,81.2,
by grower,26,n/a,n/a,body_weight_kg,87.8,
by grower,27,n/a,n/a,body_weight_kg,70.2,
by grower,28,n/a,n/a,body_weight_kg,70.2,
by grower,29,n/a,n/a,body_weight_kg,86.9,
by grower,30,n/a,n/a,body_weight_kg,87.8,
by grower,31,n/a,n/a,body_weight_kg,73.9,
by grower,32,n/a,n/a,body_weight_kg,73.6,
by grower,33,n/a,n/a,body_weight_kg,72.7,
by grower,34,n/a,n/a,body_weight_kg,86.9,
by grower,35,n/a,n/a,body_weight_kg,72.7,
by grower,36,n/a,n/a,body_weight_kg,84.0,
by grower,37,n/a,n/a,body_weight_kg,84.0,
by grower,38,n/a,n/a,body_weight_kg,70.2,
"by grower, season",1,Spring,n/a,farm_size,80.0,1.0
"by grower, season",1,Summer,n/a,farm_size,80.0,2.0
"by grower, season",1,Fall,n/a,farm_size,80.0,3.0
"by grower, season",1,Winter,n/a,farm_size,80.0,4.0
"by grower, season",2,Winter,n/a,farm_size,8.0,4.0
"by grower, season",2,Spring,n/a,farm_size,11.0,1.0
"by grower, season",2,Summer,n/a,farm_size,8.0,2.0
"by grower, season",2,Fall,n/a,farm_size,8.0,3.0
"by grower, season",3,Spring,n/a,farm_size,0.125,1.0
"by grower, season",3,Summer,n/a,farm_size,5.0,2.0
"by grower, season",4,Spring,n/a,farm_size,34.0,1.0
"by grower, season",4,Fall,n/a,farm_size,34.0,3.0
"by grower, season",4,Winter,n/a,farm_size,34.0,4.0
"by grower, season",5,Spring,n/a,farm_size,1.0,1.0
"by grower, season",5,Summer,n/a,farm_size,1.0,2.0
"by grower, season",5,Fall,n/a,farm_size,1.0,3.0
"by grower, season",5,Winter,n/a,farm_size,1.0,4.0
"by grower, season",6,Summer,n/a,farm_size,0.33,2.0
"by grower, season",6,Fall,n/a,farm_size,0.3333333,3.0
"by grower, season",6,Winter,n/a,farm_size,0.333333,4.0
"by grower, season",6,Spring,n/a,farm_size,0.333,1.0
"by grower, season",7,Spring,n/a,farm_size,4.0,1.0
"by grower, season",7,Summer,n/a,farm_size,3.0,2.0
"by grower, season",7,Fall,n/a,farm_size,3.0,3.0
"by grower, season",7,Winter,n/a,farm_size,3.0,4.0
"by grower, season",8,Fall,n/a,farm_size,12.5,3.0
"by grower, season",8,Winter,n/a,farm_size,8.5,4.0
"by grower, season",8,Spring,n/a,farm_size,13.0,1.0
"by grower, season",8,Summer,n/a,farm_size,13.0,2.0
"by grower, season",9,Spring,n/a,farm_size,60.0,1.0
"by grower, season",9,Summer,n/a,farm_size,60.0,2.0
"by grower, season",9,Fall,n/a,farm_size,60.0,3.0
"by grower, season",9,Winter,n/a,farm_size,60.0,4.0
"by grower, season",10,Spring,n/a,farm_size,0.11,1.0
"by grower, season",10,Summer,n/a,farm_size,0.11,2.0
"by grower, season",10,Fall,n/a,farm_size,0.11,3.0
"by grower, season",10,Winter,n/a,farm_size,0.11,4.0
"by grower, season",11,Spring,n/a,farm_size,0.5,1.0
"by grower, season",11,Summer,n/a,farm_size,0.5,2.0
"by grower, season",11,Fall,n/a,farm_size,0.5,3.0
"by grower, season",11,Winter,n/a,farm_size,0.5,4.0
"by grower, season",12,Spring,n/a,farm_size,25.25,1.0
"by grower, season",12,Summer,n/a,farm_size,25.25,2.0
"by grower, season",12,Fall,n/a,farm_size,25.25,3.0
"by grower, season",12,Winter,n/a,farm_size,25.25,4.0
"by grower, season",13,Summer,n/a,farm_size,0.25,2.0
"by grower, season",13,Fall,n/a,farm_size,0.25,3.0
"by grower, season",13,Winter,n/a,farm_size,0.25,4.0
"by grower, season",13,Spring,n/a,farm_size,0.5,1.0
"by grower, season",14,Summer,n/a,farm_size,4.5,2.0
"by grower, season",14,Fall,n/a,farm_size,4.5,3.0
"by grower, season",14,Winter,n/a,farm_size,4.5,4.0
"by grower, season",14,Spring,n/a,farm_size,4.5,1.0
"by grower, season",15,Summer,n/a,farm_size,450.0,2.0
"by grower, season",15,Spring,n/a,farm_size,400.0,1.0
"by grower, season",15,Fall,n/a,farm_size,400.0,3.0
"by grower, season",15,Winter,n/a,farm_size,400.0,4.0
"by grower, season",16,Winter,n/a,farm_size,0.625,4.0
"by grower, season",16,Spring,n/a,farm_size,0.5,1.0
"by grower, season",16,Summer,n/a,farm_size,0.75,2.0
"by grower, season",16,Fall,n/a,farm_size,0.625,3.0
"by grower, season",17,Spring,n/a,farm_size,1.0,1.0
"by grower, season",17,Fall,n/a,farm_size,0.3,3.0
"by grower, season",17,Winter,n/a,farm_size,0.4,4.0
"by grower, season",17,Summer,n/a,farm_size,0.3,2.0
"by grower, season",18,Spring,n/a,farm_size,2.5,1.0
"by grower, season",18,Summer,n/a,farm_size,2.5,2.0
"by grower, season",18,Winter,n/a,farm_size,2.5,4.0
"by grower, season",19,Spring,n/a,farm_size,0.33,1.0
"by grower, season",19,Summer,n/a,farm_size,0.333,2.0
"by grower, season",20,Spring,n/a,farm_size,145.0,1.0
"by grower, season",20,Fall,n/a,farm_size,144.0,3.0
"by grower, season",20,Summer,n/a,farm_size,144.0,2.0
"by grower, season",21,Spring,n/a,farm_size,7.5,1.0
"by grower, season",21,Summer,n/a,farm_size,7.5,2.0
"by grower, season",21,Fall,n/a,farm_size,7.5,3.0
"by grower, season",21,Winter,n/a,farm_size,7.5,4.0
"by grower, season",22,Winter,n/a,farm_size,13.0,4.0
"by grower, season",22,Spring,n/a,farm_size,13.0,1.0
"by grower, season",22,Summer,n/a,farm_size,13.0,2.0
"by grower, season",23,Spring,n/a,farm_size,0.5,1.0
"by grower, season",23,Summer,n/a,farm_size,72.0,2.0
"by grower, season",23,Fall,n/a,farm_size,0.5,3.0
"by grower, season",23,Winter,n/a,farm_size,0.5,4.0
"by grower, season",24,Spring,n/a,farm_size,1.5,1.0
"by grower, season",25,Spring,n/a,farm_size,37.0,1.0
"by grower, season",25,Summer,n/a,farm_size,37.0,2.0
"by grower, season",25,Fall,n/a,farm_size,37.0,3.0
"by grower, season",25,Winter,n/a,farm_size,37.0,4.0
"by grower, season",26,Spring,n/a,farm_size,11.0,1.0
"by grower, season",26,Summer,n/a,farm_size,11.0,2.0
"by grower, season",26,Winter,n/a,farm_size,11.0,4.0
"by grower, season",26,Fall,n/a,farm_size,11.0,3.0
"by grower, season",27,Spring,n/a,farm_size,17.0,1.0
"by grower, season",27,Summer,n/a,farm_size,17.0,2.0
"by grower, season",27,Winter,n/a,farm_size,17.0,4.0
"by grower, season",27,Fall,n/a,farm_size,17.0,3.0
"by grower, season",28,Spring,n/a,farm_size,24.0,1.0
"by grower, season",28,Summer,n/a,farm_size,24.0,2.0
"by grower, season",28,Fall,n/a,farm_size,24.0,3.0
"by grower, season",28,Winter,n/a,farm_size,24.0,4.0
"by grower, season",29,Spring,n/a,farm_size,19.0,1.0
"by grower, season",29,Winter,n/a,farm_size,19.0,4.0
"by grower, season",30,Spring,n/a,farm_size,18.0,1.0
"by grower, season",30,Summer,n/a,farm_size,18.0,2.0
"by grower, season",30,Fall,n/a,farm_size,18.0,3.0
"by grower, season",30,Winter,n/a,farm_size,18.0,4.0
"by grower, season",31,Spring,n/a,farm_size,42.0,1.0
"by grower, season",31,Summer,n/a,farm_size,50.0,2.0
"by grower, season",31,Winter,n/a,farm_size,50.0,4.0
"by grower, season",32,Fall,n/a,farm_size,2.5,3.0
"by grower, season",32,Spring,n/a,farm_size,2.5,1.0
"by grower, season",32,Winter,n/a,farm_size,2.5,4.0
"by grower, season",33,Fall,n/a,farm_size,250.0,3.0
"by grower, season",33,Winter,n/a,farm_size,250.0,4.0
"by grower, season",34,Summer,n/a,farm_size,100.0,2.0
"by grower, season",34,Winter,n/a,farm_size,100.0,4.0
"by grower, season",35,Summer,n/a,farm_size,5.0,2.0
"by grower, season",35,Fall,n/a,farm_size,4.75,3.0
"by grower, season",35,Winter,n/a,farm_size,4.75,4.0
"by grower, season",36,Summer,n/a,farm_size,2064.0,2.0
"by grower, season",37,Fall,n/a,farm_size,8.0,3.0
"by grower, season",38,Fall,n/a,farm_size,3.0,3.0
"by grower, season",38,Winter,n/a,farm_size,3.0,4.0
"by grower, season",1,Spring,n/a,employment_status,1,1.0
"by grower, season",1,Summer,n/a,employment_status,6,2.0
"by grower, season",1,Fall,n/a,employment_status,6,3.0
"by grower, season",1,Winter,n/a,employment_status,6,4.0
"by grower, season",2,Winter,n/a,employment_status,6,4.0
"by grower, season",2,Spring,n/a,employment_status,1,1.0
"by grower, season",2,Summer,n/a,employment_status,1,2.0
"by grower, season",2,Fall,n/a,employment_status,6,3.0
"by grower, season",3,Spring,n/a,employment_status,6,1.0
"by grower, season",3,Summer,n/a,employment_status,2,2.0
"by grower, season",4,Spring,n/a,employment_status,1,1.0
"by grower, season",4,Fall,n/a,employment_status,1,3.0
"by grower, season",4,Winter,n/a,employment_status,1,4.0
"by grower, season",5,Spring,n/a,employment_status,6,1.0
"by grower, season",5,Summer,n/a,employment_status,6,2.0
"by grower, season",5,Fall,n/a,employment_status,6,3.0
"by grower, season",5,Winter,n/a,employment_status,6,4.0
"by grower, season",6,Summer,n/a,employment_status,1,2.0
"by grower, season",6,Fall,n/a,employment_status,1,3.0
"by grower, season",6,Winter,n/a,employment_status,1,4.0
"by grower, season",6,Spring,n/a,employment_status,1,1.0
"by grower, season",7,Spring,n/a,employment_status,1,1.0
"by grower, season",7,Summer,n/a,employment_status,6,2.0
"by grower, season",7,Fall,n/a,employment_status,6,3.0
"by grower, season",7,Winter,n/a,employment_status,6,4.0
"by grower, season",8,Fall,n/a,employment_status,1,3.0
"by grower, season",8,Winter,n/a,employment_status,1,4.0
"by grower, season",8,Spring,n/a,employment_status,1,1.0
"by grower, season",8,Summer,n/a,employment_status,1,2.0
"by grower, season",9,Spring,n/a,employment_status,1,1.0
"by grower, season",9,Summer,n/a,employment_status,1,2.0
"by grower, season",9,Fall,n/a,employment_status,1,3.0
"by grower, season",9,Winter,n/a,employment_status,1,4.0
"by grower, season",10,Spring,n/a,employment_status,5,1.0
"by grower, season",10,Summer,n/a,employment_status,5,2.0
"by grower, season",10,Fall,n/a,employment_status,5,3.0
"by grower, season",10,Winter,n/a,employment_status,5,4.0
"by grower, season",11,Spring,n/a,employment_status,1,1.0
"by grower, season",11,Summer,n/a,employment_status,1,2.0
"by grower, season",11,Fall,n/a,employment_status,1,3.0
"by grower, season",11,Winter,n/a,employment_status,1,4.0
"by grower, season",12,Spring,n/a,employment_status,1,1.0
"by grower, season",12,Summer,n/a,employment_status,1,2.0
"by grower, season",12,Fall,n/a,employment_status,1,3.0
"by grower, season",12,Winter,n/a,employment_status,1,4.0
"by grower, season",13,Summer,n/a,employment_status,6,2.0
"by grower, season",13,Fall,n/a,employment_status,4,3.0
"by grower, season",13,Winter,n/a,employment_status,4,4.0
"by grower, season",13,Spring,n/a,employment_status,6,1.0
"by grower, season",14,Summer,n/a,employment_status,1,2.0
"by grower, season",14,Fall,n/a,employment_status,1,3.0
"by grower, season",14,Winter,n/a,employment_status,1,4.0
"by grower, season",14,Spring,n/a,employment_status,1,1.0
"by grower, season",15,Summer,n/a,employment_status,1,2.0
"by grower, season",15,Spring,n/a,employment_status,1,1.0
"by grower, season",15,Fall,n/a,employment_status,1,3.0
"by grower, season",15,Winter,n/a,employment_status,1,4.0
"by grower, season",16,Winter,n/a,employment_status,6,4.0
"by grower, season",16,Spring,n/a,employment_status,1,1.0
"by grower, season",16,Summer,n/a,employment_status,6,2.0
"by grower, season",16,Fall,n/a,employment_status,6,3.0
"by grower, season",17,Spring,n/a,employment_status,2,1.0
"by grower, season",17,Fall,n/a,employment_status,2,3.0
"by grower, season",17,Winter,n/a,employment_status,2,4.0
"by grower, season",17,Summer,n/a,employment_status,2,2.0
"by grower, season",18,Spring,n/a,employment_status,1,1.0
"by grower, season",18,Summer,n/a,employment_status,1,2.0
"by grower, season",18,Winter,n/a,employment_status,1,4.0
"by grower, season",19,Spring,n/a,employment_status,1,1.0
"by grower, season",19,Summer,n/a,employment_status,1,2.0
"by grower, season",20,Spring,n/a,employment_status,1,1.0
"by grower, season",20,Fall,n/a,employment_status,1,3.0
"by grower, season",20,Summer,n/a,employment_status,1,2.0
"by grower, season",21,Spring,n/a,employment_status,5,1.0
"by grower, season",21,Summer,n/a,employment_status,5,2.0
"by grower, season",21,Fall,n/a,employment_status,5,3.0
"by grower, season",21,Winter,n/a,employment_status,5,4.0
"by grower, season",22,Winter,n/a,employment_status,6,4.0
"by grower, season",22,Spring,n/a,employment_status,1,1.0
"by grower, season",22,Summer,n/a,employment_status,6,2.0
"by grower, season",23,Spring,n/a,employment_status,1,1.0
"by grower, season",23,Summer,n/a,employment_status,1,2.0
"by grower, season",23,Fall,n/a,employment_status,1,3.0
"by grower, season",23,Winter,n/a,employment_status,1,4.0
"by grower, season",24,Spring,n/a,employment_status,1,1.0
"by grower, season",25,Spring,n/a,employment_status,6,1.0
"by grower, season",25,Summer,n/a,employment_status,1,2.0
"by grower, season",25,Fall,n/a,employment_status,1,3.0
"by grower, season",25,Winter,n/a,employment_status,1,4.0
"by grower, season",26,Spring,n/a,employment_status,1,1.0
"by grower, season",26,Summer,n/a,employment_status,1,2.0
"by grower, season",26,Winter,n/a,employment_status,1,4.0
"by grower, season",26,Fall,n/a,employment_status,6,3.0
"by grower, season",27,Spring,n/a,employment_status,1,1.0
"by grower, season",27,Summer,n/a,employment_status,1,2.0
"by grower, season",27,Winter,n/a,employment_status,1,4.0
"by grower, season",27,Fall,n/a,employment_status,1,3.0
"by grower, season",28,Spring,n/a,employment_status,1,1.0
"by grower, season",28,Summer,n/a,employment_status,1,2.0
"by grower, season",28,Fall,n/a,employment_status,1,3.0
"by grower, season",28,Winter,n/a,employment_status,1,4.0
"by grower, season",29,Spring,n/a,employment_status,5,1.0
"by grower, season",29,Winter,n/a,employment_status,5,4.0
"by grower, season",30,Spring,n/a,employment_status,5,1.0
"by grower, season",30,Summer,n/a,employment_status,5,2.0
"by grower, season",30,Fall,n/a,employment_status,5,3.0
"by grower, season",30,Winter,n/a,employment_status,5,4.0
"by grower, season",31,Spring,n/a,employment_status,6,1.0
"by grower, season",31,Summer,n/a,employment_status,6,2.0
"by grower, season",31,Winter,n/a,employment_status,6,4.0
"by grower, season",32,Fall,n/a,employment_status,4,3.0
"by grower, season",32,Spring,n/a,employment_status,1,1.0
"by grower, season",32,Winter,n/a,employment_status,4,4.0
"by grower, season",33,Fall,n/a,employment_status,1,3.0
"by grower, season",33,Winter,n/a,employment_status,1,4.0
"by grower, season",34,Summer,n/a,employment_status,1,2.0
"by grower, season",34,Winter,n/a,employment_status,6,4.0
"by grower, season",35,Summer,n/a,employment_status,1,2.0
"by grower, season",35,Fall,n/a,employment_status,2,3.0
"by grower, season",35,Winter,n/a,employment_status,2,4.0
"by grower, season",36,Summer,n/a,employment_status,1,2.0
"by grower, season",37,Fall,n/a,employment_status,1,3.0
"by grower, season",38,Fall,n/a,employment_status,6,3.0
"by grower, season",38,Winter,n/a,employment_status,1,4.0
"by grower, season",1,Spring,n/a,soil_ingest,0,1.0
"by grower, season",1,Summer,n/a,soil_ingest,0,2.0
"by grower, season",1,Fall,n/a,soil_ingest,0,3.0
"by grower, season",1,Winter,n/a,soil_ingest,0,4.0
"by grower, season",2,Winter,n/a,soil_ingest,0,4.0
"by grower, season",2,Spring,n/a,soil_ingest,1,1.0
"by grower, season",2,Summer,n/a,soil_ingest,1,2.0
"by grower, season",2,Fall,n/a,soil_ingest,1,3.0
"by grower, season",3,Spring,n/a,soil_ingest,0,1.0
"by grower, season",3,Summer,n/a,soil_ingest,1,2.0
"by grower, season",4,Spring,n/a,soil_ingest,0,1.0
"by grower, season",4,Fall,n/a,soil_ingest,0,3.0
"by grower, season",4,Winter,n/a,soil_ingest,1,4.0
"by grower, season",5,Spring,n/a,soil_ingest,0,1.0
"by grower, season",5,Summer,n/a,soil_ingest,0,2.0
"by grower, season",5,Fall,n/a,soil_ingest,0,3.0
"by grower, season",5,Winter,n/a,soil_ingest,0,4.0
"by grower, season",6,Summer,n/a,soil_ingest,0,2.0
"by grower, season",6,Fall,n/a,soil_ingest,0,3.0
"by grower, season",6,Winter,n/a,soil_ingest,0,4.0
"by grower, season",6,Spring,n/a,soil_ingest,1,1.0
"by grower, season",7,Spring,n/a,soil_ingest,1,1.0
"by grower, season",7,Summer,n/a,soil_ingest,1,2.0
"by grower, season",7,Fall,n/a,soil_ingest,1,3.0
"by grower, season",7,Winter,n/a,soil_ingest,1,4.0
"by grower, season",8,Fall,n/a,soil_ingest,0,3.0
"by grower, season",8,Winter,n/a,soil_ingest,0,4.0
"by grower, season",8,Spring,n/a,soil_ingest,1,1.0
"by grower, season",8,Summer,n/a,soil_ingest,1,2.0
"by grower, season",9,Spring,n/a,soil_ingest,0,1.0
"by grower, season",9,Summer,n/a,soil_ingest,0,2.0
"by grower, season",9,Fall,n/a,soil_ingest,0,3.0
"by grower, season",9,Winter,n/a,soil_ingest,0,4.0
"by grower, season",10,Spring,n/a,soil_ingest,0,1.0
"by grower, season",10,Summer,n/a,soil_ingest,0,2.0
"by grower, season",10,Fall,n/a,soil_ingest,0,3.0
