grower_id,season,activity,attire_close_toed_shoes,attire_hat,attire_long_pants,attire_long_sleeves,attire_other,attire_sandals,attire_short_sleeves,attire_shorts,contact_%,days_per_month_by_activity,gloves_%,hours_per_day_by_activity,orient_bending_over,orient_kneeling,orient_other,orient_sitting,orient_standing,wash_freq,hours_per_month_by_activity,specificity
1,Summer,Transplanting,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
1,Summer,Watering,1,1,1,1,0,0,0,0,0.0,30.0,100.0,2.0,0,0,1,0,1,,60.0,"by grower, season, activity"
1,Summer,Weeding,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
1,Winter,Harvesting,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
1,Winter,Preparing beds,1,1,1,1,0,0,0,0,0.0,4.0,100.0,4.0,0,0,1,0,1,,16.0,"by grower, season, activity"
1,Winter,Seeding,1,1,1,1,0,0,0,0,0.0,2.0,100.0,1.0,0,0,1,0,0,,2.0,"by grower, season, activity"
1,Winter,Transplanting,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
1,Winter,Watering,1,1,1,1,0,0,0,0,0.0,30.0,100.0,2.0,0,0,0,0,1,,60.0,"by grower, season, activity"
1,Winter,Weeding,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
2,Fall,Harvesting,1,0,1,1,1,0,1,0,50.0,8.0,,4.0,0,1,1,0,1,100.0,32.0,"by grower, season, activity"
2,Fall,Preparing beds,1,0,1,1,1,0,1,0,50.0,5.0,,6.0,1,1,0,0,1,25.0,30.0,"by grower, season, activity"
2,Fall,Seeding,1,0,1,1,1,0,1,0,50.0,1.0,,2.0,1,0,0,0,1,,2.0,"by grower, season, activity"
2,Fall,Transplanting,1,0,1,1,1,0,1,0,100.0,2.0,,5.0,0,1,0,0,0,75.0,10.0,"by grower, season, activity"
2,Fall,Watering,1,0,1,0,0,0,0,0,0.0,15.0,,5.0,0,0,0,0,1,,75.0,"by grower, season, activity"
2,Fall,Weeding,1,0,1,1,1,0,1,0,100.0,5.0,30.0,8.0,0,1,1,0,0,50.0,40.0,"by grower, season, activity"
2,Spring,Harvesting,1,0,1,1,0,0,0,0,0.0,8.0,,8.0,1,1,0,1,0,100.0,64.0,"by grower, season, activity"
2,Spring,Preparing beds,1,0,1,1,0,0,0,0,90.0,15.0,5.0,3.0,1,1,0,1,1,50.0,45.0,"by grower, season, activity"
2,Spring,Seeding,1,0,1,1,0,0,0,0,50.0,20.0,,2.0,1,1,0,0,0,78.0,40.0,"by grower, season, activity"
2,Spring,Transplanting,1,0,1,1,0,0,0,0,100.0,25.0,,6.0,0,1,0,0,0,100.0,150.0,"by grower, season, activity"
2,Spring,Watering,1,0,1,1,0,0,0,0,0.0,28.0,,0.5,1,0,0,0,0,,14.0,"by grower, season, activity"
2,Spring,Weeding,1,0,1,1,0,0,0,0,100.0,20.0,50.0,2.5,0,1,0,1,0,100.0,50.0,"by grower, season, activity"
2,Summer,Harvesting,1,1,0,0,1,0,1,1,30.0,12.0,,8.0,1,1,0,0,1,100.0,96.0,"by grower, season, activity"
2,Summer,Preparing beds,1,1,0,0,1,0,1,1,75.0,5.0,,5.5,1,1,0,1,1,,27.5,"by grower, season, activity"
2,Summer,Seeding,1,1,0,0,1,0,1,1,50.0,5.0,,2.0,1,0,0,0,1,,10.0,"by grower, season, activity"
2,Summer,Transplanting,1,1,0,0,1,0,1,1,100.0,5.0,,2.0,1,1,0,0,0,,10.0,"by grower, season, activity"
2,Summer,Watering,1,1,0,0,0,0,1,1,0.0,30.0,,5.5,1,0,1,0,0,,165.0,"by grower, season, activity"
2,Summer,Weeding,1,1,0,0,1,0,1,1,100.0,12.0,,6.0,0,1,0,0,0,,72.0,"by grower, season, activity"
2,Winter,Harvesting,1,1,1,1,0,0,0,0,0.0,8.0,,8.0,1,1,0,0,0,100.0,64.0,"by grower, season, activity"
2,Winter,Preparing beds,1,1,1,1,1,0,0,0,50.0,5.0,75.0,5.0,0,1,0,0,1,95.0,25.0,"by grower, season, activity"
2,Winter,Seeding,1,1,1,1,1,0,0,0,85.0,6.0,,3.0,1,0,0,0,1,80.0,18.0,"by grower, season, activity"
2,Winter,Transplanting,1,1,1,1,0,0,0,0,100.0,6.0,,4.5,0,1,0,0,0,95.0,27.0,"by grower, season, activity"
2,Winter,Watering,1,1,1,1,0,0,0,0,0.0,8.0,,6.0,0,0,1,0,0,,48.0,"by grower, season, activity"
2,Winter,Weeding,1,1,1,1,0,0,0,0,100.0,15.0,21.0,5.0,0,1,1,0,0,95.0,75.0,"by grower, season, activity"
3,Spring,Harvesting,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
3,Spring,Preparing beds,1,1,1,1,1,0,1,0,0.0,1.0,100.0,7.0,1,1,0,0,1,,7.0,"by grower, season, activity"
3,Spring,Seeding,1,1,1,1,0,0,1,0,100.0,6.0,,4.0,0,0,1,0,1,90.0,24.0,"by grower, season, activity"
3,Spring,Transplanting,1,1,1,1,0,0,1,0,100.0,7.0,,2.0,0,0,1,0,1,90.0,14.0,"by grower, season, activity"
3,Spring,Watering,1,1,1,1,0,0,1,0,5.0,20.0,,0.5,0,0,0,0,1,,10.0,"by grower, season, activity"
3,Spring,Weeding,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
3,Summer,Harvesting,1,1,1,0,0,0,1,0,40.0,10.0,,1.0,1,1,0,0,1,,10.0,"by grower, season, activity"
3,Summer,Preparing beds,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
3,Summer,Seeding,1,1,1,0,0,0,1,0,100.0,2.0,,0.5,1,0,0,0,0,,1.0,"by grower, season, activity"
3,Summer,Transplanting,1,1,1,0,0,0,1,0,90.0,1.0,,0.5,1,0,0,0,0,,0.5,"by grower, season, activity"
3,Summer,Watering,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
3,Summer,Weeding,1,1,1,0,0,0,1,0,100.0,8.0,50.0,1.0,1,1,0,0,0,,8.0,"by grower, season, activity"
4,Fall,Harvesting,1,1,1,1,0,0,0,0,0.0,1.0,,0.33333,0,1,0,0,0,,0.33333,"by grower, season, activity"
4,Fall,Preparing beds,1,1,1,1,1,0,0,0,5.0,2.0,,4.0,0,0,1,0,0,,8.0,"by grower, season, activity"
4,Fall,Seeding,1,1,1,1,0,0,0,0,90.0,1.0,,1.0,0,1,0,0,0,,1.0,"by grower, season, activity"
4,Fall,Transplanting,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
4,Fall,Watering,1,1,1,1,0,0,0,0,0.0,3.0,,0.33333,1,0,0,0,0,,0.99999,"by grower, season, activity"
4,Fall,Weeding,1,1,1,1,0,0,0,0,0.0,5.0,,3.0,0,0,1,0,0,,15.0,"by grower, season, activity"
4,Spring,Harvesting,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
4,Spring,Preparing beds,1,1,1,1,1,0,0,0,25.0,10.0,,4.0,0,0,1,0,0,,40.0,"by grower, season, activity"
4,Spring,Seeding,1,1,1,1,1,0,0,0,5.0,3.0,,2.0,0,0,0,0,1,,6.0,"by grower, season, activity"
4,Spring,Transplanting,1,1,1,1,1,0,0,0,90.0,7.0,,4.0,1,1,0,0,1,,28.0,"by grower, season, activity"
4,Spring,Watering,1,1,1,1,1,0,0,0,90.0,5.0,,3.5,1,1,0,0,1,,17.5,"by grower, season, activity"
4,Spring,Weeding,1,1,1,1,1,0,0,0,50.0,8.0,,3.0,1,1,0,0,1,,24.0,"by grower, season, activity"
4,Winter,Harvesting,1,1,1,1,0,0,0,0,20.0,2.0,100.0,2.0,0,1,0,0,0,,4.0,"by grower, season, activity"
4,Winter,Preparing beds,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
4,Winter,Seeding,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
4,Winter,Transplanting,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
4,Winter,Watering,1,1,1,1,0,0,0,0,50.0,5.0,,0.166666,0,1,0,0,0,,0.83333,"by grower, season, activity"
4,Winter,Weeding,1,1,1,1,0,0,0,0,100.0,1.0,,0.08333333,0,1,0,0,0,,0.08333333,"by grower, season, activity"
5,Fall,Harvesting,1,0,1,1,0,0,0,0,0.0,4.0,100.0,1.0,0,1,0,0,1,100.0,4.0,"by grower, season, activity"
5,Fall,Preparing beds,1,1,1,1,0,0,0,0,40.0,5.0,100.0,2.0,1,1,0,1,1,100.0,10.0,"by grower, season, activity"
5,Fall,Seeding,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
5,Fall,Transplanting,1,0,1,1,0,0,0,0,100.0,2.0,100.0,1.0,1,1,0,0,0,100.0,2.0,"by grower, season, activity"
5,Fall,Watering,1,0,1,1,1,0,0,0,0.0,30.0,100.0,1.0,0,0,0,0,1,100.0,30.0,"by grower, season, activity"
5,Fall,Weeding,1,0,1,1,0,0,0,0,50.0,20.0,100.0,1.0,1,1,0,0,0,100.0,20.0,"by grower, season, activity"
5,Spring,Harvesting,1,0,1,1,0,0,0,0,0.0,2.0,,1.0,1,1,0,0,0,100.0,2.0,"by grower, season, activity"
5,Spring,Preparing beds,1,1,1,1,1,0,0,0,100.0,4.0,100.0,2.0,0,1,0,1,0,100.0,8.0,"by grower, season, activity"
5,Spring,Seeding,1,1,1,1,1,0,0,0,100.0,4.0,100.0,3.0,0,1,0,0,1,100.0,12.0,"by grower, season, activity"
5,Spring,Transplanting,1,1,1,1,1,0,0,0,100.0,4.0,100.0,2.0,1,1,0,0,0,100.0,8.0,"by grower, season, activity"
5,Spring,Watering,1,1,1,1,0,0,0,0,0.0,30.0,100.0,2.0,0,0,0,0,1,100.0,60.0,"by grower, season, activity"
5,Spring,Weeding,1,0,1,1,0,0,0,0,100.0,10.0,100.0,1.0,1,1,0,0,0,100.0,10.0,"by grower, season, activity"
5,Summer,Harvesting,1,1,0,0,0,0,1,1,25.0,8.0,100.0,1.5,1,1,0,0,1,100.0,12.0,"by grower, season, activity"
5,Summer,Preparing beds,1,1,1,1,0,0,1,1,75.0,3.0,100.0,2.0,1,1,0,1,1,100.0,6.0,"by grower, season, activity"
5,Summer,Seeding,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
5,Summer,Transplanting,1,1,0,0,0,0,1,1,100.0,2.0,100.0,2.0,1,1,0,1,1,100.0,4.0,"by grower, season, activity"
5,Summer,Watering,1,1,1,1,0,0,1,1,0.0,25.0,50.0,1.5,0,0,0,0,1,100.0,37.5,"by grower, season, activity"
5,Summer,Weeding,1,1,1,1,0,0,1,1,100.0,30.0,100.0,1.5,1,1,0,0,0,100.0,45.0,"by grower, season, activity"
5,Winter,Harvesting,1,1,1,1,1,0,0,0,100.0,1.0,100.0,3.0,1,1,0,1,1,100.0,3.0,"by grower, season, activity"
5,Winter,Preparing beds,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
5,Winter,Seeding,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
5,Winter,Transplanting,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
5,Winter,Watering,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
5,Winter,Weeding,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
6,Fall,Harvesting,1,0,1,0,0,0,1,0,0.0,2.0,,2.0,0,0,0,0,1,50.0,4.0,"by grower, season, activity"
6,Fall,Preparing beds,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
6,Fall,Seeding,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
6,Fall,Transplanting,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
6,Fall,Watering,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
6,Fall,Weeding,1,0,1,0,0,0,1,0,25.0,4.0,75.0,2.5,1,0,0,0,1,80.0,10.0,"by grower, season, activity"
6,Spring,Harvesting,1,0,1,0,0,0,1,0,5.0,4.0,,2.5,1,0,0,0,1,,10.0,"by grower, season, activity"
6,Spring,Preparing beds,1,1,1,0,0,0,1,0,10.0,5.0,90.0,4.0,0,1,1,0,1,30.0,20.0,"by grower, season, activity"
6,Spring,Seeding,1,1,1,0,0,0,1,0,5.0,2.0,5.0,0.5,0,0,0,0,1,90.0,1.0,"by grower, season, activity"
6,Spring,Transplanting,1,0,1,0,0,0,1,0,100.0,1.0,75.0,2.0,0,1,0,0,0,100.0,2.0,"by grower, season, activity"
6,Spring,Watering,1,0,1,0,0,0,1,0,0.0,30.0,,0.25,0,0,0,0,1,,7.5,"by grower, season, activity"
6,Spring,Weeding,1,1,1,0,0,0,1,0,80.0,30.0,95.0,4.0,0,1,0,0,1,80.0,120.0,"by grower, season, activity"
6,Summer,Harvesting,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
6,Summer,Preparing beds,1,0,1,0,0,0,1,1,10.0,1.0,50.0,4.0,0,0,0,0,1,50.0,4.0,"by grower, season, activity"
6,Summer,Seeding,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
6,Summer,Transplanting,1,0,0,0,0,0,1,1,90.0,1.0,95.0,1.0,0,1,0,0,0,,1.0,"by grower, season, activity"
6,Summer,Watering,1,0,0,0,0,0,1,1,0.0,30.0,,0.25,0,0,0,0,1,,7.5,"by grower, season, activity"
6,Summer,Weeding,1,0,1,0,0,0,1,1,95.0,3.0,85.0,6.0,1,1,0,0,1,90.0,18.0,"by grower, season, activity"
6,Winter,Harvesting,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
6,Winter,Preparing beds,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
6,Winter,Seeding,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
6,Winter,Transplanting,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
6,Winter,Watering,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
6,Winter,Weeding,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
7,Fall,Harvesting,1,1,1,1,0,0,0,0,40.0,10.0,90.0,1.0,1,1,0,1,1,30.0,10.0,"by grower, season, activity"
7,Fall,Preparing beds,1,1,1,1,0,0,0,0,80.0,20.0,20.0,8.0,1,1,0,1,1,90.0,160.0,"by grower, season, activity"
7,Fall,Seeding,1,1,1,1,0,0,0,0,100.0,5.0,,3.0,1,1,0,1,1,90.0,15.0,"by grower, season, activity"
7,Fall,Transplanting,1,1,1,1,0,0,0,0,90.0,30.0,10.0,1.5,1,1,0,1,1,90.0,45.0,"by grower, season, activity"
7,Fall,Watering,1,1,1,1,0,0,0,0,10.0,30.0,10.0,2.0,1,1,0,1,1,,60.0,"by grower, season, activity"
7,Fall,Weeding,1,1,1,1,0,0,0,0,100.0,15.0,100.0,1.0,1,1,0,1,1,90.0,15.0,"by grower, season, activity"
7,Spring,Harvesting,1,1,1,1,1,0,0,0,100.0,20.0,70.0,1.0,1,1,0,1,1,100.0,20.0,"by grower, season, activity"
7,Spring,Preparing beds,1,1,1,1,1,0,0,0,80.0,30.0,100.0,10.0,1,1,0,1,1,100.0,300.0,"by grower, season, activity"
7,Spring,Seeding,1,1,1,1,1,0,0,0,100.0,30.0,,1.0,1,1,0,1,1,100.0,30.0,"by grower, season, activity"
7,Spring,Transplanting,1,1,1,1,1,0,0,0,95.0,7.0,100.0,2.0,1,1,0,1,1,100.0,14.0,"by grower, season, activity"
7,Spring,Watering,1,1,1,1,1,0,0,0,0.0,10.0,,2.0,0,0,1,0,0,10.0,20.0,"by grower, season, activity"
7,Spring,Weeding,1,1,1,1,1,0,0,0,100.0,5.0,100.0,2.0,1,1,0,1,1,100.0,10.0,"by grower, season, activity"
7,Summer,Harvesting,1,1,1,1,1,0,0,0,90.0,7.0,100.0,2.0,1,1,0,1,1,90.0,14.0,"by grower, season, activity"
7,Summer,Preparing beds,1,1,1,1,1,0,0,0,90.0,15.0,100.0,10.0,1,1,0,1,1,90.0,150.0,"by grower, season, activity"
7,Summer,Seeding,1,1,1,1,1,0,0,0,99.0,30.0,90.0,2.0,0,0,0,1,0,95.0,60.0,"by grower, season, activity"
7,Summer,Transplanting,1,1,1,1,1,0,0,0,95.0,20.0,50.0,5.0,1,1,0,1,1,95.0,100.0,"by grower, season, activity"
7,Summer,Watering,1,1,1,1,1,0,0,0,10.0,10.0,95.0,3.0,1,1,0,1,1,,30.0,"by grower, season, activity"
7,Summer,Weeding,1,1,1,1,1,0,0,0,90.0,10.0,90.0,3.0,1,1,0,1,0,95.0,30.0,"by grower, season, activity"
7,Winter,Harvesting,1,1,1,1,0,0,0,0,80.0,10.0,80.0,1.0,1,1,0,1,1,80.0,10.0,"by grower, season, activity"
7,Winter,Preparing beds,1,1,1,1,1,0,0,0,80.0,7.0,30.0,4.0,1,1,0,1,1,95.0,28.0,"by grower, season, activity"
7,Winter,Seeding,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
7,Winter,Transplanting,1,1,1,1,0,0,0,0,80.0,2.0,80.0,2.0,1,1,0,1,1,80.0,4.0,"by grower, season, activity"
7,Winter,Watering,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
7,Winter,Weeding,1,1,1,1,0,0,0,0,80.0,2.0,80.0,2.0,1,1,0,1,1,80.0,4.0,"by grower, season, activity"
8,Fall,Harvesting,1,1,1,1,0,0,1,0,30.0,12.0,10.0,3.0,1,1,0,1,1,100.0,36.0,"by grower, season, activity"
8,Fall,Preparing beds,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
8,Fall,Seeding,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
8,Fall,Transplanting,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
8,Fall,Watering,1,1,1,1,0,0,1,0,0.0,5.0,100.0,1.5,1,0,0,0,1,,7.5,"by grower, season, activity"
8,Fall,Weeding,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
8,Spring,Harvesting,1,1,1,0,0,0,1,0,50.0,8.0,50.0,1.0,1,0,0,0,0,75.0,8.0,"by grower, season, activity"
8,Spring,Preparing beds,1,1,1,0,0,0,1,0,5.0,5.0,10.0,2.0,0,0,1,0,1,,10.0,"by grower, season, activity"
8,Spring,Seeding,1,1,1,0,0,0,1,0,0.0,5.0,,0.5,0,0,1,0,1,,2.5,"by grower, season, activity"
8,Spring,Transplanting,1,1,1,0,0,0,1,0,100.0,20.0,100.0,2.0,0,1,1,0,0,75.0,40.0,"by grower, season, activity"
8,Spring,Watering,1,1,1,0,0,0,1,0,25.0,20.0,,1.5,1,1,1,0,0,,30.0,"by grower, season, activity"
8,Spring,Weeding,1,1,1,0,0,0,1,0,100.0,5.0,100.0,1.0,0,1,0,0,1,100.0,5.0,"by grower, season, activity"
8,Summer,Harvesting,1,1,0,0,1,0,1,1,25.0,25.0,10.0,5.0,1,1,0,0,1,95.0,125.0,"by grower, season, activity"
8,Summer,Preparing beds,1,1,0,0,1,0,1,1,75.0,5.0,74.0,2.0,1,0,1,0,1,90.0,10.0,"by grower, season, activity"
8,Summer,Seeding,1,1,0,0,1,0,1,1,50.0,1.0,100.0,2.0,1,0,0,0,1,100.0,2.0,"by grower, season, activity"
8,Summer,Transplanting,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
8,Summer,Watering,1,1,0,0,1,0,1,1,50.0,5.0,,0.16,1,1,0,1,1,,0.8,"by grower, season, activity"
8,Summer,Weeding,1,1,0,0,1,0,1,1,100.0,2.0,75.0,1.0,0,1,0,0,0,75.0,2.0,"by grower, season, activity"
8,Winter,Harvesting,1,1,1,1,0,0,0,0,50.0,5.0,90.0,1.0,1,1,0,0,0,75.0,5.0,"by grower, season, activity"
8,Winter,Preparing beds,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
8,Winter,Seeding,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
8,Winter,Transplanting,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
8,Winter,Watering,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
8,Winter,Weeding,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
9,Fall,Harvesting,1,0,1,1,0,0,0,0,10.0,1.0,,0.25,1,0,0,0,0,,0.25,"by grower, season, activity"
9,Fall,Preparing beds,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
9,Fall,Seeding,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
9,Fall,Transplanting,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
9,Fall,Watering,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
9,Fall,Weeding,1,1,1,1,0,0,1,0,50.0,3.0,50.0,1.0,1,1,0,0,0,,3.0,"by grower, season, activity"
9,Spring,Harvesting,1,1,1,1,0,0,0,0,75.0,2.0,50.0,1.0,1,0,0,0,0,75.0,2.0,"by grower, season, activity"
9,Spring,Preparing beds,1,1,1,1,0,0,1,0,50.0,2.0,50.0,2.5,1,1,1,1,1,75.0,5.0,"by grower, season, activity"
9,Spring,Seeding,1,1,1,1,0,0,0,0,75.0,2.0,,1.0,1,1,0,1,1,75.0,2.0,"by grower, season, activity"
9,Spring,Transplanting,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
9,Spring,Watering,0,0,0,0,0,1,1,1,9.0,4.0,25.0,1.0,0,0,0,0,1,100.0,4.0,"by grower, season, activity"
9,Spring,Weeding,1,1,1,1,0,0,0,0,80.0,4.0,95.0,1.0,1,0,0,0,0,90.0,4.0,"by grower, season, activity"
9,Summer,Harvesting,1,0,0,0,0,0,1,1,75.0,4.0,,1.0,1,1,0,0,0,100.0,4.0,"by grower, season, activity"
9,Summer,Preparing beds,1,1,0,0,0,0,1,1,25.0,2.5,50.0,1.0,1,0,1,0,1,75.0,2.5,"by grower, season, activity"
9,Summer,Seeding,1,1,0,0,0,0,1,1,75.0,1.0,,2.0,1,1,0,0,1,100.0,2.0,"by grower, season, activity"
9,Summer,Transplanting,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
9,Summer,Watering,1,1,0,0,0,0,1,1,0.0,8.0,,0.25,0,0,0,0,1,100.0,2.0,"by grower, season, activity"
9,Summer,Weeding,1,1,1,1,0,0,1,1,75.0,12.0,50.0,0.5,1,0,0,0,0,75.0,6.0,"by grower, season, activity"
9,Winter,Harvesting,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
9,Winter,Preparing beds,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
9,Winter,Seeding,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
9,Winter,Transplanting,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
9,Winter,Watering,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
9,Winter,Weeding,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
10,Fall,Harvesting,1,1,1,1,1,0,1,0,90.0,10.0,50.0,0.75,1,1,0,1,1,,7.5,"by grower, season, activity"
10,Fall,Preparing beds,1,1,1,1,1,0,1,0,85.0,3.0,93.0,2.5,1,1,0,1,1,,7.5,"by grower, season, activity"
