grower_id,season,farm_size,employment_status,soil_ingest,soil_face_days_per_month,soil_ingest_days_per_month,soil_ingest_amt_code,produce_consume_freq,consume_snacks_freq,hours_per_day_at_site,days_per_week_at_site,farm_size_by_season_ha,days_per_month_at_site,hours_per_month_at_site,soil_ingest_text,soil_ingest_fig,soil_ingest_mg/day,hours_per_month_all_activities,hours_per_month_diff,specificity
31,Summer,50.0,6,1,5.0,3.0,3.0,3.0,,6.5,6.0,20.2343,26.099999999999998,169.64999999999998,20 mg/day,"B
20
mg/day",20.0,73.0,96.64999999999998,"by grower, season"
31,Winter,50.0,6,1,1.0,1.0,2.0,8.0,,2.0,7.0,20.2343,30.449999999999996,60.89999999999999,10 mg/day,"A
10
mg/day",10.0,32.0,28.89999999999999,"by grower, season"
32,Fall,2.5,4,1,10.0,1.0,3.0,10.0,,7.0,6.0,1.011715,26.099999999999998,182.7,20 mg/day,"B
20
mg/day",20.0,109.0,73.69999999999999,"by grower, season"
32,Spring,2.5,1,0,2.0,,,15.0,,8.0,7.0,1.011715,30.449999999999996,243.59999999999997,,,,167.5,76.09999999999997,"by grower, season"
32,Winter,2.5,4,0,2.0,,,8.0,,5.0,6.0,1.011715,26.099999999999998,130.5,,,,43.25,87.25,"by grower, season"
33,Fall,250.0,1,1,2.0,1.0,5.0,2.0,2.0,8.0,5.0,101.1715,21.75,174.0,100 mg/day,"D
100
mg/day",100.0,25.5,148.5,"by grower, season"
33,Winter,250.0,1,0,,,,,,2.0,7.0,101.1715,30.449999999999996,60.89999999999999,,,,16.0,44.89999999999999,"by grower, season"
34,Summer,100.0,1,1,9.0,16.0,5.0,16.0,,10.0,6.75,40.4686,29.362499999999997,293.625,100 mg/day,"D
100
mg/day",100.0,136.75,156.875,"by grower, season"
34,Winter,100.0,6,1,15.0,8.5,1.0,5.5,,9.28,7.0,40.4686,30.449999999999996,282.57599999999996,<10 mg/day,"<A
<10
mg/day",5.0,130.0,152.57599999999996,"by grower, season"
35,Summer,5.0,1,0,2.0,,,10.0,10.0,5.0,6.0,2.02343,26.099999999999998,130.5,,,,15.166599999999999,115.3334,"by grower, season"
35,Fall,4.75,2,0,,,,3.0,,3.0,6.0,1.9222584999999999,26.099999999999998,78.3,,,,49.5,28.799999999999997,"by grower, season"
35,Winter,4.75,2,0,,,,,,6.0,6.0,1.9222584999999999,26.099999999999998,156.6,,,,9.5,147.1,"by grower, season"
36,Summer,2064.0,1,0,,,,24.0,24.0,12.0,6.0,835.271904,26.099999999999998,313.2,,,,152.0,161.2,"by grower, season"
37,Fall,8.0,1,0,1.0,,,1.5,,13.3333333,6.0,3.237488,26.099999999999998,347.99999912999994,,,,17.25,330.74999912999994,"by grower, season"
38,Fall,3.0,6,0,15.0,,,30.0,30.0,8.0,6.0,1.214058,26.099999999999998,208.79999999999998,,,,219.0,-10.200000000000017,"by grower, season"
38,Winter,3.0,1,0,2.0,,,4.0,3.0,5.0,4.0,1.214058,17.4,87.0,,,,26.0,61.0,"by grower, season"
