season,attribute,n,mean,std,min,5%,25%,50%,75%,95%,max,specificity,grower_data,activity,season_order
Fall,avg_daily_dose_method_2_indoor,29.0,0.00013908029334429615,2.961093451152266e-05,8.227848101265824e-05,8.375156907696065e-05,0.0001238564391273,0.0001383375908822,0.0001621143643151,0.00018268004772773998,0.0001909320429202,"by grower, season",empirical,n/a,3
Winter,avg_daily_dose_method_2_indoor,32.0,0.00015323872728651642,2.372867135292973e-05,9.31645569620253e-05,0.000118603643119855,0.0001366459627329,0.00015140383602185,0.0001724534627528,0.000187917317777345,0.0001938249526614,"by grower, season",empirical,n/a,4
Spring,avg_daily_dose_method_2_outdoor,32.0,0.0015087576736964605,0.0008671164700704957,6.156462585034012e-05,0.0003039179585174,0.000979214123006775,0.0012666840615206,0.002226899852679,0.0028878894153350296,0.0034170480549199,"by grower, season",empirical,n/a,1
Summer,avg_daily_dose_method_2_outdoor,31.0,0.0015437236777649682,0.0009841140685442277,7.695578231292519e-05,0.0002489580912091,0.00067661387518065,0.001364585346994,0.0022226952850105,0.00320375911909085,0.0036888586956521,"by grower, season",empirical,n/a,2
Fall,avg_daily_dose_method_2_outdoor,29.0,0.0010611667258950887,0.0006894888506120724,3.078231292517006e-05,0.00011566625945866,0.000552503052503,0.0012246278755074,0.0014226763607781,0.0022228449500961396,0.0024625850278571,"by grower, season",empirical,n/a,3
Winter,avg_daily_dose_method_2_outdoor,32.0,0.0005826785897554624,0.00052468631638475,0.0,1.0472333263202188e-05,0.000146067519520025,0.0004383016434775,0.00096887149764865,0.0014052795031055,0.0019328883774453,"by grower, season",empirical,n/a,4
Spring,avg_daily_dose_method_3,32.0,0.001497773065121422,0.0009536011213822943,0.0002076110329189,0.00034212010178522,0.0008602405299258751,0.001200094732286,0.0021647887619838,0.00293105884556096,0.0043222540515456,"by grower, season",empirical,n/a,1
Summer,avg_daily_dose_method_3,31.0,0.0009454047570006775,0.0007214668010800462,0.0001518987341772,0.0002861209140792,0.0004337012073953,0.0007835582866137,0.0012545687019035,0.00220506602202965,0.0034022464849579,"by grower, season",empirical,n/a,2
Fall,avg_daily_dose_method_3,29.0,0.0006651185106718346,0.0005496783067555441,0.0001640289740899,0.00020813589803734,0.0002854889519525,0.0004050940893365,0.000749144604334,0.0016611894602149,0.0023217380896274,"by grower, season",empirical,n/a,3
Winter,avg_daily_dose_method_3,32.0,0.00036799623652380314,0.00042214694802474376,0.0001503416856492,0.00015478300180828,0.00019149592295965,0.00024085799199615002,0.00043604278741765,0.0005576436611650499,0.0025634013350467,"by grower, season",empirical,n/a,4
Spring,avg_daily_dose_method_3_indoor,32.0,0.00013280177013368262,2.9958054126581594e-05,6.190597523194771e-05,7.957045658793311e-05,0.000116428799640325,0.0001410883592133,0.000153550919253,0.00016929560557443,0.0001710428373673,"by grower, season",empirical,n/a,1
Summer,avg_daily_dose_method_3_indoor,31.0,0.00014311975980341768,2.7985844155038836e-05,7.134441240167421e-05,9.383524501308636e-05,0.000123966700022,0.0001498252705149,0.0001628273012249,0.0001798503866561,0.0001862900865998,"by grower, season",empirical,n/a,2
Fall,avg_daily_dose_method_3_indoor,29.0,0.0001551990992455665,2.3880781142547542e-05,8.759645559582721e-05,0.00011452682338752,0.0001452109975976,0.0001553572064801,0.0001744395659313,0.00018838623687535998,0.0001922089134267,"by grower, season",empirical,n/a,3
Winter,avg_daily_dose_method_3_indoor,32.0,0.00016429101355556564,2.1166668141993714e-05,0.000116276683087,0.00013082247303106,0.0001487616808327,0.00016976606706185,0.00018110319331767502,0.000190690907425645,0.0001944035346097,"by grower, season",empirical,n/a,4
Spring,avg_daily_dose_method_3_outdoor,32.0,0.0013649712949877083,0.0009749986292394903,5.2188404097271096e-05,0.000178977223851115,0.000707983892260275,0.00105423755733465,0.00203820553420305,0.00283800939260585,0.0042319911472835,"by grower, season",empirical,n/a,1
Summer,avg_daily_dose_method_3_outdoor,31.0,0.0008022849971972224,0.0007430716558068883,0.0,0.00013472230423854998,0.00029136258328135,0.0006040468089119,0.0011031169633,0.0021025009647075,0.0033309020725563,"by grower, season",empirical,n/a,2
Fall,avg_daily_dose_method_3_outdoor,29.0,0.000509919411426241,0.0005675538893500244,7.194324234615686e-06,4.632769848287089e-05,0.0001110493860212,0.0002352733356886,0.0006039336067363,0.00152899214312254,0.0022341416340316,"by grower, season",empirical,n/a,3
Winter,avg_daily_dose_method_3_outdoor,32.0,0.0002037052229682175,0.00043345464363010673,0.0,0.0,9.26559269626322e-06,7.427405917520013e-05,0.000295902968613525,0.00040864506979048493,0.0024471246519597,"by grower, season",empirical,n/a,4
Spring,ef_method_1,32.0,0.8839285714285714,0.1993653525033922,0.2857142857142857,0.44285714285714284,0.8214285714285714,1.0,1.0,1.0,1.0,"by grower, season",empirical,n/a,1
Summer,ef_method_1,31.0,0.849078341013825,0.22393164299164672,0.1428571428571428,0.3214285714285714,0.7857142857142857,0.9642857142857142,1.0,1.0,1.0,"by grower, season",empirical,n/a,2
Fall,ef_method_1,29.0,0.6798029556650248,0.29796484719825456,0.1428571428571428,0.1428571428571428,0.4999999999999999,0.7142857142857143,0.8571428571428571,1.0,1.0,"by grower, season",empirical,n/a,3
Winter,ef_method_1,32.0,0.5602678571428572,0.36920166127552967,0.0,0.03928571428571427,0.1428571428571428,0.5714285714285714,1.0,1.0,1.0,"by grower, season",empirical,n/a,4
Spring,ef_method_2_indoor,32.0,0.7264694940476191,0.1584138702619198,0.3125,0.5,0.6145833333333334,0.7559523809523809,0.8333333333333334,0.9511904761904761,0.988095238095238,"by grower, season",empirical,n/a,1
Summer,ef_method_2_indoor,31.0,0.7200460829493088,0.18074721994638768,0.3333333333333333,0.4375,0.5833333333333334,0.7470238095238095,0.875,0.9538690476190477,0.9851190476190476,"by grower, season",empirical,n/a,2
Fall,ef_method_2_indoor,29.0,0.807163382635468,0.13304075362613052,0.5238095250000001,0.5535714285714286,0.75,0.7857142857142857,0.9107142857142856,0.980952380952381,0.9940476190476192,"by grower, season",empirical,n/a,3
Winter,ef_method_2_indoor,32.0,0.8949107142857142,0.09705350680619883,0.6133333333333333,0.756547619047619,0.8184523809523809,0.9255952380952381,0.9761904761904762,0.9983630952380953,1.0,"by grower, season",empirical,n/a,4
Spring,ef_method_2_outdoor,32.0,0.27353050595238093,0.1584138702619198,0.0119047619047619,0.04880952380952379,0.1666666666666666,0.24404761904761907,0.3854166666666666,0.5,0.6875,"by grower, season",empirical,n/a,1
Summer,ef_method_2_outdoor,31.0,0.27995391705069117,0.18074721994638768,0.0148809523809523,0.046130952380952356,0.125,0.2529761904761904,0.4166666666666666,0.5625,0.6666666666666666,"by grower, season",empirical,n/a,2
Fall,ef_method_2_outdoor,29.0,0.192836617364532,0.13304075362613052,0.0059523809523809,0.019047619047619,0.0892857142857142,0.2142857142857143,0.25,0.4464285714285713,0.4761904749999999,"by grower, season",empirical,n/a,3
Winter,ef_method_2_outdoor,32.0,0.10508928571428568,0.09705350680619881,0.0,0.0016369047619047203,0.0238095238095238,0.07440476190476185,0.18154761904761896,0.24345238095238095,0.3866666666666666,"by grower, season",empirical,n/a,4
Spring,ef_method_3_indoor,32.0,0.7853807471264368,0.15325987633326507,0.3808155446086481,0.48419540229885055,0.7366755610290092,0.8416119321291735,0.8763341543513957,0.9662014230979747,0.9890530925013684,"by grower, season",empirical,n/a,1
Summer,ef_method_3_indoor,31.0,0.8435697247382453,0.13229357277308224,0.4745484400656814,0.5744389709906952,0.7882457580733442,0.8768472906403941,0.946975916803503,0.9824393814997263,1.0,"by grower, season",empirical,n/a,2
Fall,ef_method_3_indoor,29.0,0.9045912541794067,0.10344144932706548,0.5826491516146688,0.7145593869731801,0.8932676518883416,0.9404761904761904,0.9763957307060755,0.992816091954023,0.9980386808976464,"by grower, season",empirical,n/a,3
Winter,ef_method_3_indoor,32.0,0.960199875483631,0.06899395743795447,0.6483305966064586,0.861247947454844,0.9523638478379858,0.9849480035577449,0.9978619321291735,1.0,1.0,"by grower, season",empirical,n/a,4
Spring,ef_method_3_outdoor,32.0,0.2146192528735632,0.15325987633326507,0.0109469074986316,0.03379857690202512,0.12366584564860426,0.15838806787082643,0.26332443897099067,0.5158045977011494,0.6191844553913519,"by grower, season",empirical,n/a,1
Summer,ef_method_3_outdoor,31.0,0.15643027526175468,0.13229357277308226,0.0,0.01756061850027365,0.05302408319649696,0.1231527093596059,0.21175424192665565,0.4255610290093048,0.5254515599343186,"by grower, season",empirical,n/a,2
Fall,ef_method_3_outdoor,29.0,0.09540874582059336,0.1034414493270655,0.0019613191023535,0.007183908045976982,0.0236042692939244,0.0595238095238095,0.1067323481116584,0.28544061302681983,0.4173508483853312,"by grower, season",empirical,n/a,3
Winter,ef_method_3_outdoor,32.0,0.039800124516369,0.06899395743795446,0.0,0.0,0.002138067870826425,0.015051996442255,0.047636152162014174,0.13875205254515588,0.3516694033935413,"by grower, season",empirical,n/a,4
Spring,avg_daily_dose_method_3_outdoor,32.0,8.033224041183115e-05,9.119379543187426e-05,0.0,0.0,1.1536797909342354e-05,4.2406481581610744e-05,0.00010358376406446224,0.00025601240893589,0.0003238810997431,"by grower, season, activity",empirical,Harvesting,1
Spring,avg_daily_dose_method_3_outdoor,32.0,0.0002106310557761552,0.0003480077401777568,0.0,7.784033153491283e-06,6.334282114693668e-05,0.00015555865628055,0.0002540243919554,0.00034122447704716,0.0020310378491196,"by grower, season, activity",empirical,Preparing beds,1
Spring,avg_daily_dose_method_3_outdoor,32.0,0.00010930514679797295,0.00015127046143650604,1.7690984439752914e-06,1.0575350306641238e-05,2.6577966873048764e-05,6.0931135473590906e-05,0.00014873433575714998,0.00027255451221753493,0.0008208291054209,"by grower, season, activity",empirical,Seeding,1
Spring,avg_daily_dose_method_3_outdoor,32.0,0.00036992193651249044,0.0004953331632063798,0.0,7.784033153491283e-06,9.297207866527547e-05,0.00019961367341324998,0.000492599008819225,0.0011049758640070293,0.0024228956950096,"by grower, season, activity",empirical,Transplanting,1
Spring,avg_daily_dose_method_3_outdoor,32.0,0.00014283490262223753,0.0002340695080367746,0.0,1.2560598952224569e-05,3.499913436429478e-05,6.560367981308992e-05,0.000131861183755175,0.00034819000650292,0.0013176733237884,"by grower, season, activity",empirical,Watering,1
Spring,avg_daily_dose_method_3_outdoor,32.0,0.0004519460128669129,0.000562445938947258,0.0,1.0708643998847901e-05,0.0001354025232746,0.0002196122206314,0.000579425335722625,0.0018432111858849446,0.0021888776144559,"by grower, season, activity",empirical,Weeding,1
Summer,avg_daily_dose_method_3_outdoor,31.0,0.0001610892826317358,0.00015875915911547396,0.0,1.5081624082603968e-06,3.4105299899317476e-05,0.0001098061103157,0.0002593165667878,0.00045844039722095,0.0005745803737946,"by grower, season, activity",empirical,Harvesting,2
Summer,avg_daily_dose_method_3_outdoor,31.0,9.497274119999973e-05,0.00018697401487903322,0.0,0.0,0.0,5.080487839108528e-05,8.467479731847548e-05,0.00024187020080540002,0.0010155189245598,"by grower, season, activity",empirical,Preparing beds,2
Summer,avg_daily_dose_method_3_outdoor,31.0,3.3980814211523294e-05,7.51169320516782e-05,0.0,0.0,0.0,1.4152787551802331e-05,2.709014870929358e-05,0.00010388769290567731,0.0004062075698239,"by grower, season, activity",empirical,Seeding,2
Summer,avg_daily_dose_method_3_outdoor,31.0,9.874254000025504e-05,0.0002459182312523016,0.0,0.0,0.0,1.63526018480247e-05,9.306362560833418e-05,0.00028003718724145,0.0013540252327464,"by grower, season, activity",empirical,Transplanting,2
Summer,avg_daily_dose_method_3_outdoor,31.0,0.00010091760795160914,0.0001326844645205894,0.0,0.0,1.136253630495924e-05,6.350609798885662e-05,0.0001431093820503,0.0002596945792758,0.0006662963161276,"by grower, season, activity",empirical,Watering,2
Summer,avg_daily_dose_method_3_outdoor,31.0,0.0003125820112020535,0.00033313333203570784,0.0,0.0,8.32189032792995e-05,0.000256509095444,0.0004147907782081,0.00105223695366795,0.0011629899336046,"by grower, season, activity",empirical,Weeding,2
Fall,avg_daily_dose_method_3_outdoor,29.0,8.818128993351166e-05,0.00011528923556112563,8.845492219876457e-07,2.095383026352918e-06,1.6087065688110903e-05,3.385063081866162e-05,0.0001292211037338,0.0002872901868972997,0.0005080487839108,"by grower, season, activity",empirical,Harvesting,3
Fall,avg_daily_dose_method_3_outdoor,29.0,0.0001328587420311197,0.00021035372425391762,0.0,0.0,0.0,8.043532844055451e-05,0.0001693495946369,0.00032687210230210003,0.0010832201861971,"by grower, season, activity",empirical,Preparing beds,3
Fall,avg_daily_dose_method_3_outdoor,29.0,3.532157014610783e-05,6.183139021206806e-05,0.0,0.0,0.0,8.754301578434429e-06,4.104145527104933e-05,0.00011449537647021996,0.0003009706719876,"by grower, season, activity",empirical,Seeding,3
Fall,avg_daily_dose_method_3_outdoor,29.0,5.841799562998473e-05,0.00012771982059798964,0.0,0.0,0.0,0.0,3.27052036960494e-05,0.0002475081140748197,0.0006093113547359,"by grower, season, activity",empirical,Transplanting,3
Fall,avg_daily_dose_method_3_outdoor,29.0,3.959312029485246e-05,7.052965137252347e-05,0.0,0.0,0.0,7.056232827623632e-06,3.660203677190258e-05,0.00017266714933821984,0.0003028619618762,"by grower, season, activity",empirical,Watering,3
Fall,avg_daily_dose_method_3_outdoor,29.0,0.0001555466933906152,0.00019785119648719056,0.0,0.0,0.0,6.54104073920988e-05,0.0002031037849119,0.0005861405785746998,0.0006461055186692,"by grower, season, activity",empirical,Weeding,3
Winter,avg_daily_dose_method_3_outdoor,32.0,3.3124094133253076e-05,8.908702105233241e-05,0.0,0.0,0.0,2.572321401875375e-06,1.6299039132006952e-05,0.0001807185780789199,0.0004377755228911,"by grower, season, activity",empirical,Harvesting,4
Winter,avg_daily_dose_method_3_outdoor,32.0,4.6913246704289494e-05,8.168162558614642e-05,0.0,0.0,0.0,0.0,8.208291054209866e-05,0.00019511853148432,0.0003467432950191,"by grower, season, activity",empirical,Preparing beds,4
Winter,avg_daily_dose_method_3_outdoor,32.0,1.889859446281471e-05,3.8540413350662137e-05,0.0,0.0,0.0,0.0,9.770731071473105e-06,9.849072310876423e-05,0.0001453737417005,"by grower, season, activity",empirical,Seeding,4
Winter,avg_daily_dose_method_3_outdoor,32.0,1.8122002022673214e-05,7.791564697009054e-05,0.0,0.0,0.0,0.0,0.0,6.249764700305233e-05,0.0004361212251017,"by grower, season, activity",empirical,Transplanting,4
Winter,avg_daily_dose_method_3_outdoor,32.0,2.300881527102407e-05,5.256133606171354e-05,0.0,0.0,0.0,0.0,1.4156030571223533e-05,0.00015494264621751996,0.0002052072763552,"by grower, season, activity",empirical,Watering,4
Winter,avg_daily_dose_method_3_outdoor,32.0,6.3638470374155e-05,0.00021458243442982073,0.0,0.0,0.0,0.0,3.894269152300729e-05,0.00016753926071189998,0.0012114478475048,"by grower, season, activity",empirical,Weeding,4
Spring,avg_daily_dose_method_1,5000.0,0.0016883532298985692,0.0005827839188421356,0.0002557726465364,0.00062685973640269,0.0013170731707317,0.0016707182320441,0.00204670121126105,0.0026999999999999,0.0046380368098159,"by grower, season",simulated,n/a,1
Summer,avg_daily_dose_method_1,5000.0,0.0016227512052973826,0.0006022216625456439,0.0001272834413671,0.0005030756617090801,0.0012652719665271,0.0016136606189967,0.002013718027704275,0.0026234817813765,0.0046380368098159,"by grower, season",simulated,n/a,2
Fall,avg_daily_dose_method_1,5000.0,0.0012843161044546892,0.0006692866875719672,0.0001129116570831,0.0002345276872964,0.0007778778177937,0.0013090909090909,0.0017303070761014,0.0023773896486065055,0.00341309255079,"by grower, season",simulated,n/a,3
Winter,avg_daily_dose_method_1,5000.0,0.0010699200491621397,0.0007658310879801639,0.0,0.0,0.00033371973209677503,0.0010285714285714,0.0016493049768325002,0.0024038155802861,0.00341309255079,"by grower, season",simulated,n/a,4
Spring,avg_daily_dose_method_2,5000.0,0.0016127366848803129,0.000954126472140042,0.0001189698609685,0.00034824688096193505,0.000910159672710175,0.00145991002448775,0.0021637853170414,0.003388015641240601,0.0067583705357142,"by grower, season",simulated,n/a,1
Summer,avg_daily_dose_method_2,5000.0,0.0016642421751120744,0.0010719626389798479,0.000120618693574,0.00032361042588001,0.0007383759323077,0.00152731502233505,0.002344204671147725,0.0036118902057137203,0.0061894736842105,"by grower, season",simulated,n/a,2
Fall,avg_daily_dose_method_2,5000.0,0.0011844964178457356,0.0007838352827479069,9.134318296724904e-05,0.0002072182434979,0.00046902754503555,0.00114908232118755,0.001632887975334,0.0026523194377924,0.0044546436285097,"by grower, season",simulated,n/a,3
Winter,avg_daily_dose_method_2,5000.0,0.0007235639106729177,0.0005618137646654229,6.176619291051064e-05,0.000148123291076265,0.000270480761893425,0.0005354767184035,0.001077009715091075,0.0017930368310594051,0.0039476233183856,"by grower, season",simulated,n/a,4
Spring,avg_daily_dose_method_2_indoor,5000.0,0.00012107897045728073,4.124161826383043e-05,2.254098360655738e-05,6.139061218497003e-05,9.184372379088623e-05,0.0001161030489592,0.00014606155549769999,0.00019471081977993007,0.0003109114811568,"by grower, season",simulated,n/a,1
Summer,avg_daily_dose_method_2_indoor,5000.0,0.00011946483828477674,4.3747775224189136e-05,2.455357142857143e-05,5.640784777420132e-05,8.693167701863355e-05,0.00011387474560619999,0.00014653004308197502,0.00020018280452033005,0.0003856266432953,"by grower, season",simulated,n/a,2
Fall,avg_daily_dose_method_2_indoor,5000.0,0.00013449960560650673,4.167000677235555e-05,3.907103825136613e-05,7.539926496288868e-05,0.0001047619047619,0.00013042775493495002,0.000158135123963375,0.00021195354789356008,0.0003952673093777,"by grower, season",simulated,n/a,3
Winter,avg_daily_dose_method_2_indoor,5000.0,0.00014894478389396767,4.173354542384142e-05,4.640460210930009e-05,8.866941328814098e-05,0.000119166421917475,0.00014448183035655,0.00017373222385155,0.00022634813692291002,0.0004049079754601,"by grower, season",simulated,n/a,4
Spring,avg_daily_dose_method_2_outdoor,5000.0,0.0014916577144230014,0.0009652586081492335,3.377810954558178e-05,0.00020382706591035,0.00078165351101035,0.0013411133757437002,0.002052739571024525,0.0032747384049773005,0.0066662946428571,"by grower, season",simulated,n/a,1
Summer,avg_daily_dose_method_2_outdoor,5000.0,0.0015447773368272677,0.0010885597692627822,4.0051336519738006e-05,0.00019725922094657002,0.000602751528627,0.0014189895470383,0.0022428748451053,0.0035105160341276555,0.0060968421052631,"by grower, season",simulated,n/a,2
Fall,avg_daily_dose_method_2_outdoor,5000.0,0.0010499968122391944,0.000792248949328365,1.60205346078952e-05,7.483167133012749e-05,0.000313437383872125,0.0010301650540694,0.00149730720190915,0.002539556564440205,0.0043095237987499,"by grower, season",simulated,n/a,3
Winter,avg_daily_dose_method_2_outdoor,5000.0,0.0005746191267789154,0.0005654262160140894,0.0,0.0,0.0001184545388337,0.0003829344712341,0.0009437528634917249,0.0016264347631792958,0.0037660986547085,"by grower, season",simulated,n/a,4
Spring,avg_daily_dose_method_3,5000.0,0.0014782658754157586,0.00098632957737315,0.0001887658587313,0.00050344083344498,0.0008161126617513999,0.0011832347179139,0.00179955110856815,0.003484578688457001,0.0081492850535236,"by grower, season",simulated,n/a,1
Summer,avg_daily_dose_method_3,5000.0,0.0009491785162872208,0.0005897106549591572,0.0001245807595316,0.000307311389412605,0.000537373365338,0.00079544603879915,0.0011948412290097251,0.00207392238911579,0.0052430047360127,"by grower, season",simulated,n/a,2
Fall,avg_daily_dose_method_3,5000.0,0.0006532787185111929,0.00039336515656704867,9.089632913693946e-05,0.00022252074332376,0.0003823113414131,0.00055816385593925,0.00081369520224575,0.0014283369479465415,0.0034653508562663,"by grower, season",simulated,n/a,3
Winter,avg_daily_dose_method_3,5000.0,0.0003591308585092253,0.000266340830810525,7.351765566895435e-05,0.00013530252658101999,0.00019660208241095,0.00028081798295124995,0.000416891695625875,0.0008605704320036152,0.0028684624842122,"by grower, season",simulated,n/a,4
Spring,avg_daily_dose_method_3_indoor,5000.0,0.00013108369650273918,4.066780038589427e-05,-6.118233931503639e-06,6.88345786954219e-05,0.000103714567320175,0.00012774564790675002,0.00015561348579819998,0.00020473331193360502,0.000307393192098,"by grower, season",simulated,n/a,1
Summer,avg_daily_dose_method_3_indoor,5000.0,0.0001402244129967035,3.9740481838898556e-05,3.502262659978883e-05,8.32556306999703e-05,0.000111915581162225,0.00013571740431545,0.00016492980998525,0.00021348297345092,0.000369171023603,"by grower, season",simulated,n/a,2
Fall,avg_daily_dose_method_3_indoor,5000.0,0.00015052463844363292,4.069172087972463e-05,3.621002823682255e-05,9.176043718255371e-05,0.000121319274018625,0.00014577764191065,0.00017517414703557499,0.00022546203699762003,0.0004004754853073,"by grower, season",simulated,n/a,3
Winter,avg_daily_dose_method_3_indoor,5000.0,0.00015982389233852473,4.2090029598310326e-05,5.0403772331013297e-05,9.879858867583586e-05,0.00013051271979622498,0.00015506753639285,0.000184160472867825,0.00023810427105097504,0.0003863007530196,"by grower, season",simulated,n/a,4
Spring,avg_daily_dose_method_3_outdoor,5000.0,0.0013471821789129803,0.000991716213930923,4.652447942102572e-05,0.0003809185296225501,0.0006882427520497249,0.0010454463562031,0.001662456690984375,0.0033673877722238854,0.0080859604133226,"by grower, season",simulated,n/a,1
Summer,avg_daily_dose_method_3_outdoor,5000.0,0.0008089541032904759,0.0005880830287798231,0.0,0.00017201272960492,0.00040143574493895005,0.00064976563960765,0.0010617315589937998,0.0019433071655768853,0.0051079791001426,"by grower, season",simulated,n/a,2
Fall,avg_daily_dose_method_3_outdoor,5000.0,0.0005027540800675183,0.00038745337256375156,9.996077428353514e-07,8.375443328678862e-05,0.00023604259115385,0.00040525008616335,0.000655655697328075,0.001265286341909325,0.0032869984213565,"by grower, season",simulated,n/a,3
Winter,avg_daily_dose_method_3_outdoor,5000.0,0.00019930696617067575,0.0002607303285315108,0.0,0.0,3.872582379695049e-05,0.0001198447432037,0.00024991851731937496,0.0006828785695656754,0.0026363588227751,"by grower, season",simulated,n/a,4
Spring,ef_method_1,5000.0,0.886042857142857,0.19489384600863702,0.2857142857142857,0.2857142857142857,0.8571428571428571,1.0,1.0,1.0,1.0,"by grower, season",simulated,n/a,1
Summer,ef_method_1,5000.0,0.851492857142857,0.2192575329208469,0.1428571428571428,0.2857142857142857,0.7142857142857143,0.9642857142857142,1.0,1.0,1.0,"by grower, season",simulated,n/a,2
Fall,ef_method_1,5000.0,0.673,0.2946471361061134,0.1428571428571428,0.1428571428571428,0.4999999999999999,0.7142857142857143,0.8571428571428571,1.0,1.0,"by grower, season",simulated,n/a,3
Winter,ef_method_1,5000.0,0.5616857142857142,0.365006413443296,0.0,0.0,0.1428571428571428,0.5714285714285714,1.0,1.0,1.0,"by grower, season",simulated,n/a,4
Spring,ef_method_2_indoor,5000.0,0.7277333333333333,0.15685142650868394,0.3125,0.5,0.625,0.7619047619047619,0.8333333333333334,0.9642857142857144,0.988095238095238,"by grower, season",simulated,n/a,1
Summer,ef_method_2_indoor,5000.0,0.7178113095238096,0.1794669253298447,0.3333333333333333,0.375,0.5833333333333334,0.7470238095238095,0.875,0.9553571428571428,0.9851190476190476,"by grower, season",simulated,n/a,2
Fall,ef_method_2_indoor,5000.0,0.8084202381311905,0.1315428652990776,0.5238095250000001,0.5416666666666667,0.75,0.7857142857142857,0.9583333333333334,0.9821428571428572,0.9940476190476192,"by grower, season",simulated,n/a,3
Winter,ef_method_2_indoor,5000.0,0.895523,0.0963105376918313,0.6133333333333333,0.75,0.8095238095238095,0.9345238095238096,0.9761904761904762,1.0,1.0,"by grower, season",simulated,n/a,4
Spring,ef_method_2_outdoor,5000.0,0.2722666666666666,0.15685142650868394,0.0119047619047619,0.0357142857142857,0.1666666666666666,0.2380952380952381,0.3749999999999999,0.5,0.6875,"by grower, season",simulated,n/a,1
Summer,ef_method_2_outdoor,5000.0,0.28218869047619044,0.1794669253298447,0.0148809523809523,0.0446428571428571,0.125,0.2529761904761904,0.4166666666666666,0.625,0.6666666666666666,"by grower, season",simulated,n/a,2
Fall,ef_method_2_outdoor,5000.0,0.19157976186880948,0.1315428652990776,0.0059523809523809,0.0178571428571428,0.0416666666666666,0.2142857142857143,0.25,0.4583333333333332,0.4761904749999999,"by grower, season",simulated,n/a,3
Winter,ef_method_2_outdoor,5000.0,0.10447699999999996,0.09631053769183127,0.0,0.0,0.0238095238095238,0.0654761904761904,0.1904761904761904,0.25,0.3866666666666666,"by grower, season",simulated,n/a,4
Spring,ef_method_3_indoor,5000.0,0.7882690886699507,0.13352135103398788,-0.0830596606458675,0.4704091406677613,0.7437739463601533,0.8248494800218937,0.8747947454844006,0.924055829228243,0.978448275862069,"by grower, season",simulated,n/a,1
Summer,ef_method_3_indoor,5000.0,0.842610493377121,0.09298724362489326,0.3825259989053092,0.6661193212917351,0.7916667350848385,0.8583743842364532,0.9131089217296112,0.9603174603174603,1.0,"by grower, season",simulated,n/a,2
Fall,ef_method_3_indoor,5000.0,0.9043688120715571,0.0659166492651692,0.5347564313081554,0.7660098522167488,0.8782156540777231,0.919950738916256,0.9500547345374932,0.9803924965790914,0.9996579091406678,"by grower, season",simulated,n/a,3
Winter,ef_method_3_indoor,5000.0,0.9605884740259469,0.04542769573008701,0.6893814997263272,0.8686371100164203,0.9493705528188288,0.9760536398467432,0.9914477285303775,1.0,1.0,"by grower, season",simulated,n/a,4
